image_id,ds_idx,true_label,target_label,pred_before,conf_before,success,adv_label,adv_conf,gens_used,queries,x,y,r,g,b,best_fitness,reached,pop_size,F,Cr,max_gens,es_target,stall_patience,seed,commit,device
0,0,3,0,3,1.000000,0,3,1.000000,50,183600,0.9199180006980896,0.933935821056366,0.223175,0.000000,0.788445,1.105089769692924e-10,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,1,3,1.000000,0,3,1.000000,50,183600,0.6186530590057373,1.0,0.954109,0.305697,0.975447,1.1077424394434487e-10,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,2,3,1.000000,0,3,1.000000,50,183600,0.7322069406509399,0.12039749324321747,0.000000,0.393557,0.999998,1.871624660809701e-10,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,4,3,1.000000,0,3,1.000000,50,183600,0.1732325255870819,0.0,0.000000,0.126411,1.000000,7.061574935907089e-11,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,5,3,1.000000,0,3,1.000000,50,183600,0.7694830894470215,0.11722394824028015,0.000000,0.342543,0.589165,9.648338128442902e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,6,3,1.000000,0,3,1.000000,50,183600,1.5847686529159546,1.5595495700836182,0.025888,-0.051020,0.853200,1.485170181281248e-10,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,7,3,1.000000,0,3,0.999999,50,183600,7.581523895263672,5.919822692871094,-0.096571,-0.762502,0.267619,2.7122337709073463e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,8,3,1.000000,0,3,0.999999,50,183600,7.606997966766357,6.349478244781494,-0.281425,-1.612042,0.288031,1.4028542771882258e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
0,0,3,9,3,1.000000,0,3,1.000000,50,183600,4.696964263916016,3.6100614070892334,-0.265534,-4.918847,0.609164,5.909495115474783e-10,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,0,8,0.999995,0,8,0.999994,50,183600,0.0,0.014261581003665924,0.000000,0.000000,0.000000,1.2478309372454532e-06,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,1,8,0.999995,0,8,0.999985,50,183600,1.0,0.8677959442138672,0.000000,0.000000,0.000011,9.999899702961557e-06,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,2,8,0.999995,0,8,0.999994,50,183600,0.0,0.0,0.000000,0.000000,0.000000,4.028910094433513e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,3,8,0.999995,0,8,0.999985,50,183600,0.827747642993927,0.9592379331588745,0.000000,0.000000,0.000000,3.599654618824388e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,4,8,0.999995,0,8,0.999994,50,183600,0.020221250131726265,0.024813836440443993,0.000000,0.011131,0.000000,2.634821028024703e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,5,8,0.999995,0,8,0.999985,50,183600,0.9400796890258789,0.5092036724090576,0.012045,0.055526,0.002312,6.031310562093495e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,6,8,0.999995,0,8,0.999864,50,183600,6.675539493560791,0.6467884182929993,-0.426047,-0.167437,0.583317,4.599377234626445e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,7,8,0.999995,0,8,0.999906,50,183600,9.019098281860352,0.5089111924171448,-0.129845,-0.028210,-2.103086,8.577759302852428e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
1,1,8,9,8,0.999995,0,8,0.999904,50,183600,7.58073616027832,1.3838472366333008,-0.087170,0.051258,-0.119165,3.0949084361964196e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,0,8,0.924418,0,8,0.933241,50,183600,0.5779644846916199,0.768437385559082,0.009596,0.285337,0.034390,0.0012191466521471739,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,1,8,0.924418,0,8,0.896312,50,183600,0.10696234554052353,0.6493434906005859,0.222450,1.000000,0.000000,0.10123087465763092,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,2,8,0.924418,0,8,0.931582,50,183600,0.8733478784561157,0.5851600170135498,0.000130,0.365884,0.000000,0.00037053183768875897,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,3,8,0.924418,0,8,0.910273,50,183600,0.0,0.08939100801944733,0.000000,1.000000,0.000000,6.0319711337797344e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,4,8,0.924418,0,8,0.925373,50,183600,0.037170346826314926,0.04615851864218712,0.000000,0.017224,0.000000,1.8946722775581293e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,5,8,0.924418,0,8,0.894393,50,183600,0.1389250010251999,2.0448215007781982,-0.038898,1.025274,-0.022645,1.287992563447915e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,6,8,0.924418,0,8,0.894393,50,183600,0.21117804944515228,1.750117540359497,-0.645864,1.192509,-0.654390,5.3494619351113215e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,7,8,0.924418,0,8,0.942977,50,183600,1.9135363101959229,1.6662180423736572,-0.005367,-0.105520,1.116270,0.00010479320189915597,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
2,2,8,9,8,0.924418,0,8,0.941234,50,183600,0.8709349632263184,2.8998050689697266,0.000004,-0.107569,1.362362,0.0017302524065598845,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,0,6,0.999998,0,6,0.999996,50,183600,1.0,0.7236724495887756,0.000006,0.010894,0.256325,8.388390426716796e-09,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,1,6,0.999998,0,6,0.999998,50,183600,0.7945181131362915,0.017746124416589737,0.000062,0.316032,0.001405,5.2400732641899594e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,2,6,0.999998,0,6,0.999997,50,183600,0.05195468291640282,0.5123264193534851,0.000002,0.000000,0.282136,2.749420900727273e-06,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,3,6,0.999998,0,6,0.999995,50,183600,0.3779495358467102,0.8120479583740234,0.856095,1.000000,0.830213,4.3672802263472477e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,4,6,0.999998,0,6,0.999997,50,183600,0.8359037637710571,0.9757691621780396,0.000000,0.170050,0.000000,4.0031647330351916e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,5,6,0.999998,0,6,0.999990,50,183600,0.544508159160614,2.7890851497650146,-0.011016,0.026046,0.253315,2.9516121102801662e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,7,6,0.999998,0,6,0.999989,50,183600,0.5116574764251709,2.7479941844940186,-0.247192,-0.034473,0.337032,1.0698806285347473e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,8,6,0.999998,0,6,0.999990,50,183600,0.7693583965301514,2.9225611686706543,0.059883,-0.110729,0.295525,3.0454092581067016e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
3,4,6,9,6,0.999998,0,6,0.999846,50,183600,3.010068893432617,1.3276088237762451,1.574927,1.025672,0.965072,1.7231416293839175e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,0,6,0.999998,0,6,0.999998,50,183600,0.0,0.05589437112212181,0.000000,0.000000,0.026574,1.1476823047473772e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,1,6,0.999998,0,6,0.999997,50,183600,0.7210513949394226,0.019588321447372437,0.000000,0.000000,0.550298,9.158903679917785e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,2,6,0.999998,0,6,0.999998,50,183600,0.25357311964035034,0.019756406545639038,0.322703,0.837696,0.120823,4.649953666557849e-08,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,3,6,0.999998,0,6,0.999998,50,183600,0.07934295386075974,0.02537648379802704,0.000000,0.000007,0.115349,1.348914651089217e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,4,6,0.999998,0,6,0.999998,50,183600,0.0,0.0,0.000000,0.000000,0.000000,1.4266031200804719e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,5,6,0.999998,0,6,0.999985,50,183600,2.6428182125091553,2.3642754554748535,-0.006153,0.000000,0.414181,1.1377936061762739e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,7,6,0.999998,0,6,0.999985,50,183600,3.4347333908081055,2.125788927078247,-0.092806,-0.828535,0.605050,5.712535084967385e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,8,6,0.999998,0,6,0.999987,50,183600,2.0501203536987305,2.1292788982391357,-0.364727,-0.534365,0.103171,2.2969717861087702e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
4,5,6,9,6,0.999998,0,6,0.999877,50,183600,6.724477291107178,1.9989356994628906,-0.944398,-6.917856,0.825491,4.1427577457398e-07,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,0,1,0.902649,0,1,0.896018,50,183600,0.5763713121414185,0.707146167755127,0.676554,0.599695,0.000620,0.0009756237268447876,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,2,1,0.902649,0,1,0.867731,50,183600,0.7966299057006836,0.5142664909362793,0.023958,0.996523,0.427312,3.19370228680782e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,3,1,0.902649,0,1,0.844497,50,183600,0.8704112768173218,0.9830087423324585,0.000000,0.000417,0.733899,0.0003428072377573699,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,4,1,0.902649,0,1,0.902237,50,183600,0.0966539978981018,0.26250338554382324,0.824926,0.052832,0.000000,2.8832819225499406e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,5,1,0.902649,0,1,0.842994,50,183600,0.5678053498268127,0.8046538233757019,0.000000,0.000000,0.780192,0.0009006111067719758,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,6,1,0.902649,0,1,0.884889,50,183600,0.7960151433944702,1.6952204704284668,-0.105728,0.921403,0.003112,3.7124580558156595e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,7,1,0.902649,0,1,0.876891,50,183600,0.9921067953109741,1.9158151149749756,-0.303945,0.801773,-0.041406,0.0002186925703426823,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,8,1,0.902649,0,1,0.870293,50,183600,0.8656694293022156,2.319705009460449,-0.110497,0.545740,0.098438,4.623140921466984e-05,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
5,6,1,9,1,0.902649,0,1,0.774817,50,183600,4.885168552398682,1.217921257019043,0.189616,0.028237,1.788724,0.22377727925777435,0,400,0.5,0.9,50,0.9,8,1337,d245230,mps
