ds_idx,true_label,pred_before,conf_before,targets,hit_mask,gens_used,queries,best_xy_rgb_per_target,adv_labels_per_target,adv_confs_per_target,pop,max_gens,F,Cr,es_target,xy_topk,xy_mutate_prob,seed,device,prior
0,3,3,1.000000,0|1|2|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(16,11,0.0000,0.0000,0.6520)|(8,2,0.0000,0.0014,0.5472)|(4,5,1.0000,1.0000,1.0000)|(18,7,0.0000,0.0000,0.6326)|(16,11,0.0000,0.0000,0.5667)|(18,8,1.0000,1.0000,1.0000)|(18,8,1.0000,1.0000,1.0000)|(9,1,0.0000,0.0000,0.6039)|(19,27,0.0000,0.0000,0.6982)",3|3|3|3|3|3|3|3|3,0.999995|1.000000|1.000000|1.000000|0.999995|0.999998|0.999998|1.000000|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
1,8,8,0.999995,0|1|2|3|4|5|6|7|9,0|0|0|0|0|0|0|0|0,40,70848,"(19,6,1.0000,1.0000,1.0000)|(16,3,1.0000,1.0000,0.3825)|(4,28,1.0000,1.0000,0.5917)|(23,3,0.0000,0.0000,0.5277)|(12,21,1.0000,1.0000,0.6652)|(12,21,1.0000,1.0000,0.4447)|(13,4,1.0000,1.0000,0.5032)|(4,28,1.0000,1.0000,0.5508)|(12,21,1.0000,1.0000,0.7167)",8|8|8|8|8|8|8|8|8,0.999995|0.999996|0.999992|0.999908|0.998647|0.998278|0.999997|0.999992|0.998783,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
2,8,8,0.924418,0|1|2|3|4|5|6|7|9,0|0|0|0|0|0|0|0|0,40,70848,"(27,28,1.0000,1.0000,1.0000)|(17,22,1.0000,1.0000,0.9642)|(14,19,1.0000,1.0000,1.0000)|(19,17,1.0000,1.0000,1.0000)|(15,19,1.0000,1.0000,1.0000)|(25,16,0.0000,0.0000,0.7443)|(16,19,1.0000,1.0000,0.8377)|(21,19,1.0000,1.0000,1.0000)|(15,19,1.0000,0.9897,1.0000)",8|1|8|8|8|8|8|8|8,0.703679|0.600205|0.914869|0.904642|0.884954|0.907108|0.959339|0.888357|0.884833,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
4,6,6,0.999998,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(19,19,0.0000,0.0000,0.7575)|(19,19,0.0000,0.0000,0.7289)|(19,19,0.0000,0.0000,0.6976)|(23,22,0.0000,0.0000,0.7231)|(20,29,0.0000,0.0000,0.4294)|(3,11,0.0000,0.0000,0.6854)|(19,19,0.0000,0.0000,0.7061)|(18,3,0.0000,0.0000,0.7815)|(19,31,0.0000,0.0000,0.7082)",6|6|6|6|6|6|6|6|6,0.998789|0.998775|0.998767|0.999943|0.999997|0.999984|0.998768|0.999999|0.999997,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
5,6,6,0.999998,0|1|2|3|4|5|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(21,23,1.0000,1.0000,1.0000)|(19,17,0.0000,0.0000,0.6693)|(18,6,1.0000,1.0000,1.0000)|(20,19,1.0000,1.0000,1.0000)|(11,17,0.0000,0.0000,0.6829)|(17,5,0.0000,0.0000,0.6685)|(20,18,0.7178,1.0000,1.0000)|(18,8,1.0000,1.0000,1.0000)|(16,14,0.0000,0.0000,0.6850)",6|6|6|6|6|6|6|6|6,0.999967|0.998950|0.999934|0.993518|0.985988|0.999952|0.998607|0.999901|0.999952,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
6,1,1,0.902649,0|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(11,10,1.0000,1.0000,1.0000)|(9,10,1.0000,1.0000,1.0000)|(27,27,1.0000,1.0000,1.0000)|(9,19,1.0000,1.0000,0.9258)|(9,11,1.0000,0.8131,1.0000)|(9,10,1.0000,1.0000,0.9224)|(7,20,1.0000,1.0000,0.9164)|(9,11,1.0000,1.0000,1.0000)|(7,19,0.2925,0.1117,0.0000)",1|1|1|1|1|1|1|1|1,0.995492|0.983541|0.740331|0.987517|0.992603|0.984158|0.924627|0.994759|0.880228,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
7,6,6,0.999173,0|1|2|3|4|5|7|8|9,0|0|1|0|0|0|0|0|0,40,70848,"(17,15,0.0000,0.0000,0.6693)|(18,15,1.0000,1.0000,1.0000)|(18,4,1.0000,1.0000,1.0000)|(14,3,1.0000,1.0000,1.0000)|(18,13,0.1222,0.0630,1.0000)|(17,14,1.0000,0.9902,1.0000)|(18,15,1.0000,1.0000,1.0000)|(18,17,0.0000,0.0000,0.9378)|(18,15,1.0000,1.0000,1.0000)",6|6|6|6|6|2|6|6|6,0.529348|0.661057|0.991849|0.999240|0.868557|0.980353|0.661057|0.976750|0.661057,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
8,3,3,0.999905,0|1|2|4|5|6|7|8|9,0|0|0|0|1|0|0|0|0,40,70848,"(12,11,0.0000,0.0000,1.0000)|(17,8,0.0837,0.0282,0.1990)|(18,8,0.0000,0.0000,0.0000)|(16,6,0.0000,0.1766,0.2487)|(16,7,0.0000,0.0000,0.6835)|(18,9,0.1785,0.0000,0.4370)|(18,7,0.0000,0.0966,0.0656)|(18,21,0.0646,0.0000,0.0470)|(13,4,0.0340,0.0186,0.0455)",3|3|5|5|5|3|3|3|3,0.998372|0.981775|0.522891|0.819633|0.959736|0.996848|0.998938|0.999995|0.999776,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
9,1,1,0.999316,0|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(15,12,1.0000,1.0000,1.0000)|(16,30,0.0000,0.0000,0.9383)|(15,12,1.0000,1.0000,1.0000)|(15,12,1.0000,1.0000,1.0000)|(15,25,0.0000,1.0000,1.0000)|(15,12,0.7022,1.0000,0.4384)|(15,12,1.0000,1.0000,1.0000)|(15,12,1.0000,1.0000,1.0000)|(15,6,0.8030,0.4129,0.8719)",1|1|1|1|1|1|1|1|1,0.983881|0.997096|0.983881|0.983881|0.990631|0.990794|0.983881|0.983881|0.999092,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
10,0,0,0.999997,1|2|3|4|5|6|7|8|9,0|0|0|0|0|0|0|0|0,40,70848,"(23,4,1.0000,1.0000,1.0000)|(22,14,0.7292,0.4454,0.4063)|(23,4,1.0000,1.0000,1.0000)|(22,14,0.8235,0.4527,0.3355)|(21,8,1.0000,1.0000,1.0000)|(22,14,1.0000,1.0000,1.0000)|(23,4,1.0000,1.0000,1.0000)|(13,18,0.1615,0.0000,0.0227)|(13,19,0.4369,0.2407,0.0307)",0|0|0|0|0|0|0|0|0,0.998154|0.999342|0.998154|0.999575|0.999974|0.999942|0.998154|1.000000|1.000000,192,40,0.5,0.9,0.9,32,0.1,1337,mps,sumgrad
